Weight Date *,AWB Number *,Courier *,Entered Weight,Entered LxBxH,Applied Weight *,Weight Charges,Products
2023-11-20,14344986096831,Surface Xpressbees 0.5 K.G,500g,41x25x2,3500g,198,"Crypto Millionaire Hoodie - XL,Crypto Millionaire Hoodie – L"
2023-10-31 02:03:03,6042210002645,Delhivery,,,220,0.75,
